Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
50144,Kitchen,Banana Yoshimoto,"Yoshimoto, Banana",Megan Backus,802142443,9.7808E+12,4,3.89,Grove Press,Paperback,160,2006,1988,07/08/2022,05/08/2022,,,read,,,,1,0
57885010,The Remains of the Day,Kazuo Ishiguro,"Ishiguro, Kazuo",,571258247,9.78057E+12,5,4.14,Faber & Faber,Paperback,258,2010,1989,06/08/2022,05/08/2022,,,read,,,,1,0
25793458,Nick and Charlie,Alice Oseman,"Oseman, Alice",,8147876,9.78001E+12,2,4.21,HarperCollins Children's Books,ebook,120,2015,2015,05/08/2022,04/08/2022,,,read,,,,1,0
60381163,Scattered All Over the Earth,Yōko Tawada,"Tawada, Yōko",Margaret Mitsutani,1783789034,9.78178E+12,3,3.42,Granta Books,Paperback,224,2022,2018,03/08/2022,19/07/2022,,,read,,,,1,0
54294206,"This Winter (Solitaire, #0.5)",Alice Oseman,"Oseman, Alice",,8412936,9.78001E+12,3,4.15,HarperCollins Children's Books,Paperback,102,2020,2015,31/07/2022,31/07/2022,,,read,,,,1,0
32927264,Ms Ice Sandwich,Mieko Kawakami,"Kawakami, Mieko",Louise Heal Kawai,1782273301,9.78178E+12,3,3.81,Pushkin Press,Paperback,92,2017,2013,29/07/2022,29/07/2022,,,read,,,,1,0
40683413,"Solitaire (Solitaire, #1)",Alice Oseman,"Oseman, Alice",,,,3,3.89,HarperCollins,Paperback,392,2018,2014,27/07/2022,27/07/2022,,,read,,,,1,0
43352954,This is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,,,3,3.95,Saga Press,Kindle Edition,209,2019,2019,18/07/2022,16/07/2022,,,read,,,,1,0
19161835,Confessions,Kanae Minato,"Minato, Kanae",Stephen    Snyder,316200921,9.78032E+12,5,4.05,Mulholland Books,Paperback,240,2014,2008,16/07/2022,15/07/2022,,,read,A little disturbing but overall a very good booke,,,1,0
53345896,People From My Neighbourhood,Hiromi Kawakami,"Kawakami, Hiromi",Ted Goossen,1846276985,9.78185E+12,3,3.6,Granta Books,Paperback,121,2020,2020,14/07/2022,13/07/2022,,,read,,,,1,0
